Date,Open,High,Low,Close,Adj Close,Volume
2020-02-27,225.687042,237.228928,212.664520,226.753387,226.753387,25645522790
2020-02-28,226.987610,234.208939,216.346207,226.760498,226.760498,22563530559
2020-02-29,226.833450,232.256622,219.848511,219.848511,219.848511,18181296376
2020-03-01,219.752686,226.677887,214.130432,218.970596,218.970596,18179807469
2020-03-02,218.711624,232.811584,217.284286,230.569778,230.569778,20305587789
2020-03-03,230.523972,232.325806,221.732666,224.479630,224.479630,19853178572
2020-03-04,224.565338,228.040421,222.088882,224.517975,224.517975,16567075208
2020-03-05,224.641891,234.364456,224.641891,229.268188,229.268188,18201291785
2020-03-06,229.168427,243.554977,228.743576,243.525299,243.525299,19374772256
2020-03-07,243.750198,249.978485,237.551285,237.853088,237.853088,19431652027
2020-03-08,237.780685,237.780685,200.602982,200.689056,200.689056,21381823651
2020-03-09,201.318497,207.451401,192.269897,201.986328,201.986328,23645428606
2020-03-10,202.863953,205.714249,198.064499,200.767242,200.767242,18344930072
2020-03-11,200.768036,202.954300,184.362152,194.868530,194.868530,16984790291
2020-03-12,194.738922,195.147934,111.210709,112.347122,112.347122,22134741655
2020-03-13,112.689995,137.429535,95.184303,133.201813,133.201813,27864623061
2020-03-14,133.582474,134.484375,122.414474,123.306023,123.306023,12740784545
2020-03-15,123.246063,132.242142,121.853653,125.214302,125.214302,12719251813
2020-03-16,124.996117,124.996117,105.171440,110.605873,110.605873,15984904590
2020-03-17,110.406784,118.988281,110.406784,113.942749,113.942749,12087490572
2020-03-18,113.857643,116.021622,111.743111,114.842270,114.842270,11617854009
2020-03-19,114.839828,140.527725,114.732864,136.593857,136.593857,16396753275
2020-03-20,136.649277,150.853806,122.605659,132.737167,132.737167,18960388062
2020-03-21,133.101761,135.972412,127.163757,132.818710,132.818710,13684083308
2020-03-22,132.851135,136.151642,122.909332,123.321152,123.321152,12497707224
2020-03-23,123.365982,134.911606,121.867882,134.911606,134.911606,14149877968
2020-03-24,135.194138,141.948532,133.168777,138.761444,138.761444,14609068673
2020-03-25,138.914963,141.403793,134.304230,136.195892,136.195892,13433092920
2020-03-26,136.190674,138.830566,134.886032,138.361557,138.361557,11367261176
2020-03-27,138.369934,139.902695,133.937943,133.937943,133.937943,11396286629
2020-03-28,134.032745,134.032745,126.962189,130.986496,130.986496,12162403960
2020-03-29,131.015335,131.174088,125.450050,125.583733,125.583733,9938133669
2020-03-30,125.577896,133.911469,125.289680,132.904541,132.904541,11841123306
2020-03-31,132.820923,134.274139,131.652893,133.593567,133.593567,11065246317
2020-04-01,133.612320,135.634552,129.730942,135.634552,135.634552,12456564435
2020-04-02,135.732178,146.787094,135.732178,142.029144,142.029144,15322861686
2020-04-03,142.110458,146.899872,139.619385,142.091309,142.091309,13184603402
2020-04-04,142.215179,145.377304,140.121826,145.219391,145.219391,11946658257
2020-04-05,145.261017,146.128525,142.102081,143.546646,143.546646,11280993591
2020-04-06,143.608215,169.272644,143.544601,169.135880,169.135880,21636382525
2020-04-07,169.147446,175.204132,164.203323,165.101944,165.101944,21659346091
2020-04-08,165.240326,173.210266,164.493195,172.641739,172.641739,17063110836
2020-04-09,172.761261,172.897781,167.987122,170.807144,170.807144,14901696210
2020-04-10,170.829269,170.949768,154.914474,158.412445,158.412445,17980944616
2020-04-11,158.538986,161.167572,155.298340,158.216019,158.216019,13555089447
2020-04-12,158.232391,164.516953,156.320511,161.142426,161.142426,15123721386
2020-04-13,160.720673,160.749695,151.614487,156.279556,156.279556,16465282133
2020-04-14,156.355957,160.944275,155.865936,157.596390,157.596390,14723156630
2020-04-15,157.565643,160.711121,152.802841,153.286896,153.286896,14171753737
2020-04-16,153.200424,173.157272,150.359421,172.157379,172.157379,22910469236
2020-04-17,null,null,null,null,null,null
2020-04-18,171.618073,187.940475,171.618073,186.914001,186.914001,20160323443
2020-04-19,186.861984,188.098923,180.120819,181.614960,181.614960,19146038381
2020-04-20,181.480225,186.083542,170.321274,172.297165,172.297165,21266681335
2020-04-21,172.017715,175.178467,170.552841,172.737701,172.737701,16458767984
2020-04-22,172.670395,183.751007,171.826599,182.599579,182.599579,17994666395
2020-04-23,182.620178,189.088867,180.340652,185.028671,185.028671,21275740032
2020-04-24,185.222107,190.210388,185.222107,189.236938,189.236938,16788555028
2020-04-25,189.207397,196.792374,188.459534,195.515305,195.515305,18260969748
2020-04-26,195.413589,199.344971,194.768066,197.317535,197.317535,18335367012
2020-04-27,197.475723,199.552795,193.454163,197.224716,197.224716,18670194595
2020-04-28,197.273514,198.786545,194.849426,198.415390,198.415390,18217507467
2020-04-29,198.465195,218.454636,198.124512,216.968231,216.968231,26397548759
2020-04-30,216.909134,227.529694,206.436920,207.602051,207.602051,28089191904
2020-05-01,207.901733,217.628021,207.780884,214.219101,214.219101,20816320834
2020-05-02,214.230087,215.847534,212.878677,215.325378,215.325378,18260876092
2020-05-03,215.352066,219.270874,208.692368,210.933151,210.933151,20469034664
2020-05-04,210.890854,211.828384,199.047729,208.174011,208.174011,22602446422
